ID,y_trust,c_age,c_male,c_education,c_income,x_threat
1464,8,35,1,10,3,0
1470,5,36,1,4,1,0
1479,7,37,1,10,3,1
1487,8,44,1,4,1,0
1488,8,41,0,10,1,0
1492,7,47,0,6,1,0
1498,8,44,1,9,3,0
1499,9,45,0,6,0,0
1500,5,15,0,0,0,0
1515,8,60,1,4,2,0
1516,8,41,1,4,1,0
1521,7,42,0,6,2,0
1527,3,58,1,4,3,0
1528,4,57,0,1,0,0
1536,6,58,1,1,2,0
1541,5,61,1,8,3,0
1543,5,32,0,6,1,0
1554,7,31,1,10,2,0
1571,9,49,1,7,1,0
1572,5,46,0,10,0,0
1573,6,16,1,1,0,0
1574,8,15,1,0,0,0
1583,5,42,1,4,3,0
1586,6,65,1,10,3,0
1606,5,40,1,4,2,0
1611,7,28,0,4,1,1
1624,10,30,0,6,2,0
1627,6,53,0,4,0,0
1635,5,32,1,7,3,0
1643,5,38,0,4,1,1
1656,8,46,0,4,1,0
1657,8,44,1,4,2,0
1660,3,61,0,4,0,0
1665,8,50,1,10,3,0
1666,7,31,0,10,0,0
1669,6,37,0,2,1,0
1670,7,48,0,10,3,0
1673,5,17,1,0,0,1
1679,7,56,1,4,3,0
1681,6,26,0,4,1,0
1682,5,21,1,4,1,0
1683,6,59,0,2,3,0
1692,7,50,0,4,2,0
1695,9,47,1,1,3,0
1696,7,46,0,8,0,0
1697,5,17,1,0,0,0
1698,7,15,0,0,0,0
1713,7,62,0,4,1,0
1722,5,54,0,10,3,0
1740,7,37,0,4,1,0
1743,5,21,0,0,0,0
1760,8,30,0,4,1,0
1764,7,36,1,9,2,0
1775,7,59,1,6,1,0
1776,2,41,1,7,3,0
1791,7,46,1,6,3,1
1815,7,34,1,10,3,0
1818,7,35,0,6,1,0
1819,2,49,1,8,3,0
1826,4,49,1,10,3,0
1827,5,41,0,4,0,0
1837,7,55,1,4,3,0
1838,5,52,0,4,1,0
1839,8,23,0,6,1,0
1842,10,51,1,4,2,0
1850,8,53,0,4,0,0
1851,8,52,1,7,3,0
1856,7,49,0,6,0,0
1858,7,18,0,1,0,0
1870,8,48,0,7,1,0
1875,5,60,1,5,1,0
1877,5,56,0,4,0,0
1885,2,40,0,4,2,0
1894,8,63,0,1,0,0
1898,9,44,0,10,1,0
1899,8,17,0,0,0,1
1904,10,61,1,4,1,0
1907,4,44,1,7,3,0
1911,5,42,0,7,1,0
1912,9,17,1,0,0,1
1913,5,15,1,0,0,0
1921,3,20,0,4,1,0
1924,5,37,1,4,2,0
