ID,y_trust,c_age,c_male,c_education,c_income,x_threat
177,NA,NA,NA,NA,NA,NA
178,NA,NA,NA,NA,NA,NA
179,NA,NA,NA,NA,NA,NA
180,NA,NA,NA,NA,NA,NA
181,5,28,0,4,2,0
182,NA,NA,NA,NA,NA,NA
183,6,32,1,10,3,0
184,NA,NA,NA,NA,NA,NA
185,NA,NA,NA,NA,NA,NA
186,6,57,1,4,2,0
187,5,56,0,4,3,0
188,NA,NA,NA,NA,NA,NA
189,NA,NA,NA,NA,NA,NA
190,NA,NA,NA,NA,NA,NA
191,NA,NA,NA,NA,NA,NA
192,NA,NA,NA,NA,NA,NA
193,NA,NA,NA,NA,NA,NA
194,NA,NA,NA,NA,NA,NA
195,NA,NA,NA,NA,NA,NA
196,NA,NA,NA,NA,NA,NA
197,NA,NA,NA,NA,NA,NA
198,NA,NA,NA,NA,NA,NA
199,7,56,0,5,NA,0
200,NA,NA,NA,NA,NA,NA
201,NA,NA,NA,NA,NA,NA
202,NA,NA,NA,NA,NA,NA
203,NA,NA,NA,NA,NA,NA
204,NA,NA,NA,NA,NA,NA
205,3,68,0,1,NA,0
206,NA,NA,NA,NA,NA,NA
207,NA,36,0,4,NA,NA
208,NA,NA,NA,NA,NA,NA
209,5,58,1,10,NA,0
210,7,45,0,10,2,0
211,6,16,1,1,NA,0
212,NA,NA,NA,NA,NA,NA
213,NA,NA,NA,NA,NA,NA
214,2,47,0,4,2,1
215,NA,44,1,1,NA,NA
216,6,18,1,1,NA,1
217,5,16,0,1,NA,0
218,NA,12,1,NA,NA,NA
219,NA,40,1,4,3,NA
220,NA,39,0,7,0,NA
221,NA,6,1,NA,NA,NA
222,6,36,0,7,2,0
223,6,35,1,7,3,0
224,NA,10,0,0,NA,NA
225,7,NA,NA,NA,NA,0
226,7,73,1,10,NA,0
227,9,68,0,7,NA,0
228,9,87,0,10,NA,0
229,NA,50,1,10,3,NA
230,NA,50,0,4,1,NA
231,NA,20,1,1,NA,NA
232,NA,17,1,0,NA,NA
233,5,75,1,1,NA,0
234,7,71,0,8,NA,0
235,1,19,0,0,0,0
236,7,62,0,6,NA,0
237,NA,NA,NA,NA,NA,NA
238,NA,NA,NA,NA,NA,NA
239,NA,NA,NA,NA,NA,NA
240,7,58,1,10,3,0
241,8,58,0,10,3,0
242,10,31,1,10,2,0
243,NA,NA,NA,NA,NA,NA
244,5,63,0,6,NA,0
245,5,61,1,10,3,0
246,NA,NA,NA,NA,NA,NA
247,NA,NA,NA,NA,NA,NA
248,NA,NA,NA,NA,NA,NA
249,8,44,0,6,2,1
250,9,17,1,0,0,0
251,6,15,1,0,NA,1
252,NA,NA,NA,NA,NA,NA
253,NA,NA,NA,NA,NA,NA
254,NA,NA,NA,NA,NA,NA
255,NA,NA,NA,NA,NA,NA
256,NA,NA,NA,NA,NA,NA
257,NA,NA,NA,NA,NA,NA
258,NA,NA,NA,NA,NA,NA
259,NA,NA,NA,NA,NA,NA
260,NA,NA,NA,NA,NA,NA
261,NA,NA,NA,NA,NA,NA
262,NA,63,1,10,NA,NA
263,6,55,0,10,NA,0
264,NA,19,1,6,NA,NA
265,NA,15,0,1,NA,NA
266,NA,NA,NA,NA,NA,NA
267,NA,NA,NA,NA,NA,NA
268,NA,NA,NA,NA,NA,NA
269,NA,NA,NA,NA,NA,NA
270,NA,NA,NA,NA,NA,NA
271,NA,NA,NA,NA,NA,NA
272,NA,NA,NA,NA,NA,NA
273,NA,NA,NA,NA,NA,NA
274,NA,NA,NA,NA,NA,NA
275,NA,NA,NA,NA,NA,NA
276,NA,NA,NA,NA,NA,NA
277,NA,NA,NA,NA,NA,NA
278,NA,NA,NA,NA,NA,NA
279,NA,NA,NA,NA,NA,NA
280,NA,NA,NA,NA,NA,NA
281,6,64,0,6,NA,0
282,5,60,1,10,NA,0
283,7,24,1,10,NA,0
284,NA,NA,NA,NA,NA,NA
285,NA,NA,NA,NA,NA,NA
286,NA,NA,NA,NA,NA,NA
287,NA,NA,NA,NA,NA,NA
288,NA,NA,NA,NA,NA,NA
289,NA,NA,NA,NA,NA,NA
290,NA,NA,NA,NA,NA,NA
291,NA,NA,NA,NA,NA,NA
292,NA,NA,NA,NA,NA,NA
293,NA,NA,NA,NA,NA,NA
294,NA,NA,NA,NA,NA,NA
295,NA,NA,NA,NA,NA,NA
296,NA,NA,NA,NA,NA,NA
297,3,54,1,7,NA,0
298,NA,43,0,1,NA,NA
299,NA,82,1,4,NA,NA
300,5,71,0,4,0,0
301,NA,NA,NA,NA,NA,NA
302,NA,NA,NA,NA,NA,NA
303,NA,NA,NA,NA,NA,NA
304,NA,NA,NA,NA,NA,NA
305,NA,NA,NA,NA,NA,NA
306,NA,NA,NA,NA,NA,NA
307,NA,NA,NA,NA,NA,NA
308,NA,NA,NA,NA,NA,NA
309,3,63,0,10,2,0
310,NA,26,1,7,NA,NA
311,3,21,0,6,0,0
312,5,38,0,4,NA,0
313,4,16,1,1,0,0
314,8,13,1,0,NA,0
315,NA,NA,NA,NA,NA,NA
316,NA,NA,NA,NA,NA,NA
317,NA,NA,NA,NA,NA,NA
318,NA,NA,NA,NA,NA,NA
319,NA,NA,NA,NA,NA,NA
320,NA,NA,NA,NA,NA,NA
321,NA,NA,NA,NA,NA,NA
322,8,40,0,10,1,0
323,3,44,1,10,3,0
324,NA,10,0,0,NA,NA
325,NA,7,0,0,NA,NA
326,0,36,1,4,2,0
327,NA,NA,NA,NA,NA,NA
328,NA,NA,NA,NA,NA,NA
329,NA,NA,NA,NA,NA,NA
330,NA,NA,NA,NA,NA,NA
331,NA,NA,NA,NA,NA,NA
332,NA,NA,NA,NA,NA,NA
333,NA,NA,NA,NA,NA,NA
334,NA,NA,NA,NA,NA,NA
335,NA,NA,NA,NA,NA,NA
336,NA,59,1,4,3,NA
337,NA,48,0,2,NA,NA
338,NA,22,1,1,NA,NA
339,NA,20,1,6,NA,NA
340,NA,NA,NA,NA,NA,NA
341,NA,NA,NA,NA,NA,NA
342,NA,NA,NA,NA,NA,NA
343,6,51,1,4,1,1
344,NA,50,0,4,NA,NA
345,NA,19,1,1,NA,NA
346,6,25,0,3,1,0
347,NA,NA,NA,NA,NA,NA
348,NA,NA,NA,NA,NA,NA
349,8,58,1,7,3,0
350,NA,NA,NA,NA,NA,NA
351,NA,NA,NA,NA,NA,NA
352,NA,NA,NA,NA,NA,NA
353,NA,NA,NA,NA,NA,NA
354,NA,NA,NA,NA,NA,NA
355,NA,NA,NA,NA,NA,NA
356,NA,NA,NA,NA,NA,NA
357,NA,NA,NA,NA,NA,NA
358,NA,NA,NA,NA,NA,NA
359,NA,NA,NA,NA,NA,NA
360,NA,NA,NA,NA,NA,NA
361,4,43,0,4,NA,0
362,NA,NA,NA,NA,NA,NA
